Assessor Book,Assessor Page,Assessor Parcel,# of Accessory Dwelling Units
2039.0,008,021,1.0
2022.0,004,010,1.0
2404.0,015,024,1.0
2668.0,001,001,1.0
2202.0,002,028,1.0
2112.0,001,094,1.0
5020.0,035,009,2.0
5186.0,013,029,1.0
4257.0,015,060,1.0
5048.0,023,012,1.0
5445.0,003,004,1.0
2533.0,003,015,1.0
2212.0,014,018,1.0
2202.0,025,006,1.0
5524.0,021,006,1.0
2423.0,034,025,1.0
2715.0,035,051,1.0
2315.0,019,041,1.0
2572.0,029,018,1.0
2604.0,007,019,1.0
2537.0,007,011,1.0
2246.0,027,017,1.0
2230.0,015,004,1.0
2153.0,017,019,1.0
5518.0,001,031,1.0
5085.0,021,006,1.0
2309.0,021,011,1.0
2672.0,009,034,1.0
2611.0,045,030,1.0
7446.0,010,011,1.0
5028.0,017,015,1.0
2692.0,011,002,1.0
2101.0,019,017,1.0
2120.0,033,009,1.0
5540.0,006,015,1.0
2202.0,023,006,1.0
2423.0,030,015,1.0
2119.0,007,002,1.0
2731.0,004,018,1.0
2151.0,010,026,1.0
2309.0,018,013,1.0
2353.0,030,025,1.0
5036.0,011,026,1.0
2608.0,022,014,1.0
2688.0,020,001,1.0
2648.0,019,003,1.0
4107.0,005,032,1.0
5062.0,001,019,1.0
2503.0,008,045,1.0
2347.0,029,005,1.0
2649.0,018,002,1.0
2712.0,002,009,1.0
5069.0,030,012,1.0
5043.0,013,024,1.0
2565.0,010,065,1.0
2604.0,026,003,1.0
2120.0,012,009,1.0
2603.0,019,012,1.0
2315.0,007,019,1.0
2346.0,020,003,1.0
2741.0,007,010,1.0
2101.0,012,029,1.0
2120.0,033,025,1.0
5154.0,013,013,1.0
2547.0,005,006,1.0
5556.0,027,019,1.0
4325.0,016,009,1.0
2508.0,011,021,1.0
2609.0,029,034,1.0
2683.0,020,016,1.0
2408.0,006,013,1.0
2280.0,025,019,1.0
2683.0,023,006,1.0
5510.0,001,006,1.0
4220.0,016,005,1.0
6039.0,002,062,1.0
4242.0,033,020,1.0
2661.0,012,017,1.0
2119.0,011,017,1.0
4401.0,002,132,1.0
4263.0,023,094,1.0
2647.0,006,002,1.0
2504.0,011,160,1.0
2119.0,002,018,1.0
2661.0,010,016,1.0
2604.0,006,009,1.0
5685.0,017,020,1.0
2682.0,017,017,1.0
4251.0,008,019,1.0
2213.0,015,009,1.0
2604.0,031,014,1.0
2308.0,011,012,1.0
2353.0,033,031,1.0
2606.0,003,025,1.0
2346.0,009,004,1.0
4108.0,023,019,1.0
6119.0,010,018,1.0
4243.0,026,017,1.0
2119.0,002,019,1.0
4245.0,019,023,1.0
2696.0,030,023,1.0
6018.0,020,014,1.0
2697.0,024,015,1.0
5085.0,007,027,1.0
4108.0,013,018,1.0
2119.0,014,007,1.0
5510.0,009,022,1.0
4247.0,026,011,1.0
4264.0,018,029,1.0
2212.0,021,026,1.0
2787.0,004,011,1.0
2681.0,016,022,1.0
5569.0,034,007,1.0
2269.0,016,013,1.0
4258.0,018,032,1.0
2645.0,014,019,1.0
2712.0,018,021,1.0
5066.0,017,009,1.0
5305.0,029,018,1.0
4258.0,011,001,1.0
2348.0,003,036,1.0
2325.0,020,005,1.0
5183.0,027,023,1.0
2022.0,010,004,1.0
2644.0,005,021,1.0
2104.0,007,034,1.0
2697.0,014,014,1.0
5087.0,019,023,1.0
2115.0,003,024,1.0
5526.0,028,010,1.0
4259.0,015,019,1.0
2216.0,027,019,1.0
4332.0,011,032,1.0
2167.0,022,021,1.0
2355.0,013,029,1.0
2531.0,026,075,1.0
2679.0,014,015,1.0
2120.0,031,029,1.0
2605.0,013,021,1.0
2334.0,006,067,1.0
2417.0,015,005,1.0
5046.0,003,005,1.0
7351.0,004,010,1.0
2708.0,021,014,1.0
5128.0,003,021,2.0
2202.0,015,014,1.0
5435.0,027,001,1.0
2511.0,011,018,1.0
5542.0,022,025,1.0
2228.0,029,011,1.0
6014.0,025,014,1.0
2148.0,005,008,1.0
2781.0,021,016,1.0
2633.0,015,016,1.0
2321.0,012,018,1.0
2785.0,015,031,1.0
2755.0,003,145,4.0
2237.0,021,003,1.0
2344.0,003,013,1.0
2667.0,023,022,1.0
2320.0,019,022,1.0
2640.0,025,020,1.0
2214.0,016,020,1.0
6066.0,020,029,1.0
5435.0,022,013,1.0
5001.0,011,002,1.0
2315.0,020,010,1.0
2616.0,023,024,1.0
5052.0,024,008,1.0
5514.0,011,033,1.0
5551.0,014,016,1.0
